id,name,color,title
1947,A,blue,Xiangqi
2001,B,gold,NTU I'm Forest Manager
2002,C,red,NTU Class Picking
2003,D,white,Ingenious Missions
2004,E,yellow,Stock Price Prediction Adjustment
